id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
522;1;16;18;18;19;20;19;17;18;20;20;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
523;1;16;19;19;20;12;11;17;19;19;7;3;0;0;5;1;Facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
524;1;16;16;18;20;18;16;16;17;19;19;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
525;1;16;18;18;19;20;19;18;19;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
526;1;16;19;19;19;19;19;19;19;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
527;1;17;18;19;19;18;16;16;17;19;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
528;1;16;19;18;19;18;18;18;19;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
529;1;17;19;18;19;17;20;17;19;20;20;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
530;1;17;18;17;19;18;19;18;19;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
531;1;16;15;15;19;17;18;16;18;17;17;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
532;1;16;17;17;18;20;18;17;18;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
533;1;17;17;17;19;17;19;17;19;20;19;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
534;1;17;15;16;19;19;18;17;18;20;19;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
535;1;17;19;18;19;20;17;17;18;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
536;1;17;19;18;19;19;18;18;19;20;20;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
537;1;16;19;18;19;20;17;17;19;20;19;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
538;1;16;19;18;19;19;17;17;18;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
539;1;17;19;17;19;20;20;17;17;20;20;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
540;1;16;19;17;19;17;17;17;19;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
541;1;17;16;16;19;20;15;15;17;20;17;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
542;1;17;18;18;20;19;19;17;17;19;18;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
543;1;17;19;18;19;18;20;17;19;20;20;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
